Extension,Load
-51.01959,0.0023
-51.01586,0.0013
-51.00413,0.00425
-50.99239,0.0046
-50.98079,0.00506
-50.97066,0.00219
-50.96013,0.00677
-50.94959,0.0041
-50.93999,0.00232
-50.92933,0.00249
-50.91893,0.00196
-50.9096,0.00122
-50.89906,0.00703
-50.88919,0.00248
-50.87959,0.00442
-50.86933,0.00089
-50.85933,0.00449
-50.84946,0.00279
-50.83933,0.00493
-50.82906,0.00501
-50.81946,0.00657
-50.80933,0.00449
-50.79893,-0.00008
-50.78946,0.00444
-50.77906,0.00784
-50.76906,0.002
-50.75986,0.00433
-50.7492,0.00286
-50.73946,0.00718
-50.72972,0.00615
-50.71906,0.00417
-50.70933,0.00624
-50.69946,0.00375
-50.68906,0.00596
-50.67919,0.00042
-50.66933,0.00126
-50.65893,0.00582
-50.64919,0.00621
-50.63946,0.00337
-50.6292,-0.0011
-50.61933,0.00489
-50.60973,0.00053
-50.59919,0.00266
-50.58946,0.00269
-50.57973,0.00371
-50.56906,-0.00005
-50.55959,0.00284
-50.54959,0.00205
-50.53879,0.00517
-50.52933,0.00296
-50.51933,0.00135
-50.50906,0.00584
-50.49959,0.00143
-50.48959,0.00408
-50.47906,0.0024
-50.46933,0.00479
-50.45946,0.00331
-50.4488,0.00692
-50.43933,0.00237
-50.42946,0.0038
-50.41879,0.00237
-50.40946,0.00318
-50.39933,0.00218
-50.38866,0.002
-50.37946,0.00468
-50.36919,0.0037
-50.35892,0.00346
-50.34959,0.00393
-50.33932,0.00141
-50.32919,0.00211
-50.31946,0.00518
-50.30933,0.0021
-50.29893,0.0033
-50.28946,0.00754
-50.27946,0.00258
-50.26879,0.00411
-50.25933,0.00219
-50.24933,0.00039
-50.23879,0.0013
-50.2296,0.00173
-50.21946,0.00547
-50.20919,0.00081
-50.19986,0.0026
-50.18946,0.0044
-50.17906,0.00508
-50.16946,0.00518
-50.15919,-0.00318
-50.1492,0.00072
-50.13933,0.00314
-50.12919,0.00339
-50.11893,0.00353
-50.10933,0.00314
-50.09933,-0.00019
-50.08906,0.0031
-50.07959,0.00115
-50.06946,0.00547
-50.05919,0.0032
-50.04972,0.00499
-50.0392,0.00225
-50.02919,0.00417
-50.01959,0.00484
-50.00906,0.00003
-49.99919,0.00218
-49.98946,0.00195
-49.97906,0.00508
-49.96919,0.0019
-49.95959,0.00189
-49.94933,0.00117
-49.93919,0.00126
-49.92946,0.00444
-49.91919,0.00492
-49.90919,0.00339
-49.89946,0.00044
-49.88906,0.00467
-49.87919,0.00228
-49.86946,0.00776
-49.85893,0.0057
-49.84919,0.00118
-49.83932,0.00229
-49.82906,0.00354
-49.81946,0.00349
-49.80946,0.00316
-49.79933,0.00138
-49.78933,0.00298
-49.77933,0.00331
-49.76919,0.00281
-49.75919,0.00143
-49.7496,0.00211
-49.73919,0.00058
-49.72932,0.00209
-49.71959,0.00211
-49.70906,0.00168
-49.69933,0.00194
-49.68959,0.00278
-49.6792,0.00367
-49.66959,0.00449
-49.65946,0.00516
-49.64906,0.00475
-49.63946,0.00326
-49.62933,0.00452
-49.61906,0.00179
-49.60933,0.00614
-49.59919,0.00664
-49.58892,0.01123
-49.57933,0.008
-49.56946,0.01097
-49.55906,0.01023
-49.54933,0.01431
-49.53946,0.01067
-49.52906,0.01044
-49.51946,0.0234
-49.50933,0.0209
-49.49893,0.02055
-49.48959,0.02202
-49.47933,0.02737
-49.46893,0.02665
-49.45933,0.0325
-49.44906,0.03212
-49.43906,0.0379
-49.42946,0.04058
-49.41946,0.047
-49.40906,0.05412
-49.39959,0.05434
-49.38946,0.05954
-49.37893,0.06541
-49.36959,0.07126
-49.3592,0.07522
-49.34893,0.07873
-49.33946,0.08839
-49.32919,0.09472
-49.31893,0.1033
-49.30946,0.11016
-49.29906,0.11922
-49.28919,0.12554
-49.27959,0.13527
-49.26933,0.14208
-49.25933,0.15739
-49.24946,0.16587
-49.23933,0.17306
-49.22906,0.18674
-49.21946,0.19696
-49.20933,0.20838
-49.19906,0.22151
-49.18959,0.22957
-49.17919,0.24397
-49.16906,0.25962
-49.15973,0.27306
-49.14919,0.28571
-49.13933,0.29688
-49.12973,0.31146
-49.11919,0.32654
-49.10933,0.33793
-49.09946,0.35208
-49.08906,0.37019
-49.07906,0.38713
-49.06932,0.40248
-49.05906,0.41633
-49.04906,0.43301
-49.03946,0.44742
-49.02919,0.46884
-49.01919,0.48419
-49.00959,0.5057
-48.9992,0.52417
-48.98933,0.54424
-48.97959,0.56254
-48.96906,0.58213
-48.95933,0.60342
-48.94946,0.6249
-48.93893,0.64498
-48.92933,0.66852
-48.91933,0.69178
-48.90906,0.71014
-48.89933,0.73415
-48.88959,0.75936
-48.87933,0.78318
-48.86933,0.80396
-48.86559,0.81469
